Date,Revenue,Expenses,CashFlow
2025-01-01,524835.71,354820.72,170014.99
2025-02-01,493086.78,360539.68,132547.1
2025-03-01,532384.43,376920.86,155463.57
2025-04-01,576151.49,387638.92,188512.57
2025-05-01,488292.33,367666.17,120626.16
2025-06-01,488293.15,310004.36,178288.79
2025-07-01,578960.64,389661.45,189299.19
2025-08-01,538371.74,372332.76,166038.98
2025-09-01,476526.28,340248.1,136278.18
2025-10-01,527128.0,419748.86,107379.14
2025-11-01,476829.12,309900.04,166929.08
2025-12-01,476713.51,347313.73,129399.78
